SourceReport,GroupType,GroupValue,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason
report,SetupType,FAILED_BREAK_RECLAIM_SHORT,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
report,Direction,SHORT,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
report,LifecycleStatus,INVALIDATED,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
report,OutcomeStatus,FULL_HORIZON,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
context_report,CtxRelVolumeSpike_v1,1,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
context_report,CtxDeltaSpike_v1,0,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
context_report,CtxOISpike_v1,0,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
context_report,CtxLiqSpike_v1,0,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
context_report,CtxWickReclaim_v1,0,1,RANKING_V1_LINEAR_DELTA_MFE_MAE,-0.015250628770297973,LOW_SAMPLE,0.0,0.0,REJECT,LOW_SAMPLE
